customer_id,age,income,tenure_months,monthly_charges,contract_type,payment_method,total_calls,data_usage_gb,num_products,complaint_registered,churn
CUST000001,60,20000,72,31.83,One-Year,Bank Transfer,4,4.09,3,No,0
CUST000002,98,81309,-5,,Two-Year,Credit Card,43,27.65,2,No,1
CUST000003,63,35K,58,72.41,Two-Year,Electronic Check,2,59.42,5,No,0
CUST000004,32,$53259,58,69.17,One-Year,Bank Transfer,5,38.6,5,No,0
CUST000005,56,56,171,7,56.31,One-Year,Credit Card,2,17.64,2,Yes,0
CUST000006,,40K,67,72.67,Two-Year,Credit Card,5,6.49,1,Yes,0
CUST000007,,$33435,66,,Two-Year,Electronic Check,3,12.62,5,Yes,0
CUST000008,46,$32012,17,86.59,One-Year,Credit Card,0,0.49,4,Yes,0
CUST000009,24,20,000,26,66.08,Month-to-Month,Credit Card,3,7.89,2,No,1
CUST000010,64,$20000,23,44.33,Two-Year,Bank Transfer,2,21.54,4,Yes,0
CUST000011,18,,4,56.56,Month-to-Month,Credit Card,3,53.98,4,No,1
CUST000012,22,67724,17,71.86,One-Year,Credit Card,0,41.12,1,Yes,1
CUST000013,65,,70,91.82,Month-to-Month,Electronic Check,5,5.89,2,No,0
CUST000014,,24,983,5,67.48,Month-to-Month,Credit Card,2,34.33,2,Yes,1
CUST000015,35,$81183,2,,One-Year,Credit Card,5,14.22,5,No,0
CUST000016,44,61K,58,59.71,Month-to-Month,Bank Transfer,4,3.13,1,No,1
CUST000017,48,62554,42,74.08,Two-Year,Bank Transfer,1,34.87,5,No,0
CUST000018,51,20000,28,33.4,Two-Year,Bank Transfer,23,35.69,3,No,1
CUST000019,36,20K,14,85.58,One-Year,Electronic Check,3,15.11,4,Yes,0
CUST000020,35,20000,49,53.69,Two-Year,Electronic Check,5,50.67,5,No,0
CUST000021,47,46233,27,107.34,Two-Year,Electronic Check,2,60.36,5,No,1
CUST000022,57,35,618,53,29.09,One-Year,Bank Transfer,2,25.01,4,Yes,0
CUST000023,19,273866,43,95.57,Month-to-Month,Credit Card,1,17,5,Yes,0
CUST000024,31,$34008,-7,,One-Year,Electronic Check,0,49.62,4,Yes,0
CUST000025,63,,42,40.2,Month-to-Month,Bank Transfer,4,10.65,3,No,1
